,date,N - Activités de services administratifs et de soutien,"M - Activités spécialisées, scientifiques et techniques",G - Commerce,J - Information et communication,K - Activités financières et d'assurance,Q - Santé humaine et action sociale,L - Activités immobilières,P - Enseignement,I - Hébergement et restauration,"B,C - Industrie",S - Autres services,0 - Administration,F - Construction,H - Transports et entreposage,"D,E - Electricité - Eau","R - Arts, spectacles et activités récréatives",A - Agriculture,nan
12,2020-01-01,0.26483709593979826,0.16919595953131417,0.08392665717348523,0.09110787560732361,0.07369748750686657,0.04061668346639787,0.04197799501874636,0.017542385988490852,0.03148616288806046,0.06395764334437315,0.039092707850007735,0.007766542401988235,0.027728889671098593,0.0257449214145907,0.013017125059332385,0.005469245825400127,0.002614624832669344,0.0002199964800563191
13,2020-02-01,0.2639992352993753,0.1731302076609099,0.08461238616388428,0.08694372995143654,0.07204199894729524,0.04394173378487084,0.04596645248428391,0.017846324967971953,0.03337992710516123,0.05763061980475306,0.03470822202139175,0.0068835470191572394,0.028000953392986604,0.025811128876883197,0.01589360730140129,0.005696771374375577,0.0032834953770371324,0.0002296584668249034
14,2020-03-01,0.26824838305466603,0.17331375700887264,0.07919931145341552,0.08763653853456023,0.07186451833381852,0.04332527497563507,0.04657941701368233,0.01766046046552837,0.035431037756148184,0.05273836495500398,0.035641145721265206,0.0072246762945055495,0.02674066854835647,0.024811725543306285,0.020345032718619867,0.00533243889781918,0.0036566380194160007,0.0002506107053805359
15,2020-04-01,0.2682599919725153,0.17269380072421242,0.07072445876060852,0.08479429208162531,0.06888567209898439,0.04122562593370225,0.04595662550044992,0.016501262807388183,0.04194288314213719,0.04828227766113292,0.051712071221467294,0.007036365664969883,0.025266290794909357,0.02380424529327126,0.023996962886648727,0.005057025570581732,0.0036703283009408387,0.00018981958445450054
16,2020-05-01,0.2766947868121895,0.16672486869091535,0.06449079728500852,0.08436929982078505,0.07034586183607593,0.03844347106236717,0.04460874944826254,0.014640320353395603,0.041134354498189245,0.04404681924460272,0.06077000391755758,0.010077518005697299,0.025731794436359194,0.023019639194720342,0.02689642580482764,0.004507850182671633,0.003329037610325335,0.00016840179604947115
17,2020-06-01,0.28361579808366444,0.17138022902547326,0.06561159149333957,0.07054919373685441,0.072080392615097,0.044137415283944846,0.04720729142322973,0.015899041832203784,0.035008179481187195,0.03974386538910961,0.06260528160785231,0.0108773077821921,0.02520775882215471,0.02421313390979201,0.02440196307548493,0.004552465529329283,0.002710913764898341,0.00019817714419256838
18,2020-07-01,0.30784547330780915,0.17150519600050895,0.07105524499443965,0.06073429756914093,0.07398166156347648,0.04933763180028322,0.05331828539419046,0.017844366193692094,0.02657734844516563,0.03951571193221157,0.040297301450649976,0.00983018191372111,0.025063741682185545,0.023061021816757742,0.020974029085705507,0.004615178699785352,0.004241734236430003,0.00020159391384669278
19,2020-08-01,0.2993145938283313,0.16985360688361864,0.07832168032839806,0.05819137137191712,0.07481932222698894,0.05307916247584146,0.05315233751196267,0.01832532473215784,0.026228228633248144,0.039365299823949464,0.04829121942610683,0.009954674521743742,0.022761740647584714,0.022014207435444542,0.017925014240435945,0.0047334204738011835,0.0035310541940056723,0.0001377412444634476
20,2020-09-01,0.2988391972249752,0.15591179385530227,0.08669350842418234,0.06082383548067393,0.07304633300297324,0.050810208126858276,0.052571853320118926,0.021289643211100096,0.027267096134786915,0.03871531219028741,0.04756442021803766,0.01958250743310208,0.02251362735381566,0.020101585728444005,0.016088949454905847,0.004385530227948463,0.003740089197224975,5.4509415262636265e-05
21,2020-10-01,0.28994024934472223,0.1498904070895659,0.09589574272410943,0.07021619439591564,0.07582428214141544,0.04557308028917849,0.05173163470809142,0.02251464296953973,0.027203062151579614,0.03729606321803929,0.04526837752450132,0.02158162975945162,0.0237857205608755,0.020710891566961768,0.015669951303160345,0.004781831708437263,0.002088437197312833,2.780134714207712e-05
