year,sector,nouveaute_count,influence_count,rupture_count,total_patents,nouveaute_share,influence_share,rupture_share
1987,F,2.2142857142857144,193.11282051282052,3.8666666666666667,6191.904434631334,0.008170795993674223,0.21036254957823586,0.01681159420289855
1987,G,94.23809523809524,118.29166666666666,91.64523809523808,7687.966638615703,0.3477420488490599,0.12885802469135801,0.39845755693581775
1987,H,18.0,155.13333333333333,70.51969696969698,7094.70783596539,0.06642066420664207,0.1689905591866376,0.3066073781291173
1988,A,150.4871212121212,46.96666666666667,12.540476190476191,9119.34470488473,0.47925834780930315,0.050071073205401564,0.042654680919987045
1988,B,14.614285714285714,274.2644688644689,35.458241758241755,14920.909094320352,0.046542311191992716,0.29239282394932714,0.12060626448381549
1988,C,25.481060606060606,64.99848484848485,14.85,12418.587095630612,0.08114987454159428,0.06929475996640176,0.050510204081632655
1988,D,0.4,19.4,4.483333333333333,1866.734374689638,0.0012738853503184715,0.02068230277185501,0.015249433106575963
1988,E,2.0,55.233333333333334,10.5,2961.7850177600176,0.006369426751592357,0.05888415067519545,0.03571428571428571
1988,F,1.05,161.2069597069597,23.983333333333334,6889.535055160714,0.0033439490445859874,0.17186243039121504,0.08157596371882087
1988,G,89.36753246753247,150.09545454545454,102.36190476190475,8355.207582921934,0.28460997601124993,0.1600164760612522,0.3481697440881114
1988,H,30.6,165.83463203463202,89.82271062271062,7697.897074632002,0.09745222929936306,0.17679598297935184,0.3055194238867708
1989,A,126.58452380952382,67.30238095238096,16.53333333333333,9898.484250118303,0.444156223893066,0.0677086327488742,0.03917851500789889
1989,B,27.495238095238093,297.96190476190475,51.886111111111106,15558.39959553459,0.09647451963241437,0.2997604675673086,0.1229528699315429
1989,C,8.032142857142857,45.25742296918767,12.622222222222222,13088.271473508063,0.02818295739348371,0.045530606608840715,0.029910479199578725
1989,D,5.5,27.11904761904762,1.0,2011.601114674799,0.01929824561403509,0.027282744083548915,0.002369668246445498
