nuts2_code,period,nouveaute_count,influence_count,rupture_count,total_patents,region_name
UKE4,1980-1989,6.0,1.0,6.416666666666667,336.0309523809524,West Yorkshire
ITH3,1980-1989,5.833333333333334,4.0,6.5,949.5429292929293,Veneto
FRK2,1980-1989,5.7,26.0,2.8666666666666667,3932.6318986568986,Rhone-Alpes
UKK6,1980-1989,5.666666666666667,3.5,11.119047619047619,533.0685606060606,UKK6
BE21,1980-1989,5.5,2.333333333333333,10.25,557.7174603174603,Antwerpen
FRL0,1980-1989,5.5,7.833333333333334,12.416666666666668,1284.5858225108225,Provence-Alpes-Cote d'Azur
UKI6,1980-1989,5.366666666666667,1.0,9.0,347.4535714285714,Outer London - West
NL42,1980-1989,5.166666666666667,2.5833333333333335,8.583333333333332,555.5789682539682,Limburg (NL)
FI1B,1980-1989,5.166666666666666,8.85,2.6,574.9015873015874,Helsinki-Uusimaa
UKG1,1980-1989,5.033333333333333,6.5,6.5,587.9330086580087,Herefordshire
UKK4,1980-1989,4.916666666666666,2.5,3.5,215.56587301587302,Devon
UKK5,1980-1989,4.791666666666667,1.5,3.4583333333333335,242.05357142857144,UKK5
DE12,1980-1989,4.75,111.83773448773448,3.5,3666.230704834381,Karlsruhe
NL21,1980-1989,4.5,2.0,4.5,389.48333333333335,Overijssel
UKD7,1980-1989,4.333333333333334,1.75,4.033333333333333,416.78492063492064,Merseyside
BE33,1980-1989,4.0,6.0,1.25,322.8869047619048,Liege
CH03,1980-1989,4.0,47.733333333333334,0.9333333333333335,2653.2087662337663,Nordwestschweiz
FRE1,1980-1989,4.0,1.3333333333333335,2.0,679.4905483405483,Nord-Pas-de-Calais
ITH4,1980-1989,4.0,0.0,7.5,427.4428571428572,Friuli-Venezia Giulia
NLZZ,1980-1989,4.0,0.0,0.33333333333333337,203.65952380952382,NLZZ
UKJ4,1980-1989,4.0,1.0,1.0,326.85476190476186,Kent
UKI5,1980-1989,3.8333333333333335,0.0,6.2,222.04047619047617,Outer London - South
DK04,1980-1989,3.5,3.666666666666667,3.0,241.07857142857142,Midtjylland
IE05,1980-1989,3.4761904761904763,0.0,0.14285714285714285,69.85833333333333,Southern
UKG2,1980-1989,3.416666666666667,1.25,3.7857142857142856,389.6107142857143,Shropshire and Staffordshire
UKD4,1980-1989,3.3333333333333335,1.0,5.833333333333334,288.4345238095238,Lancashire
UKG3,1980-1989,3.25,3.5,5.30952380952381,594.277380952381,West Midlands
UKH4,1980-1989,3.125,2.8333333333333335,8.533333333333333,642.1440476190476,UKH4
BE24,1980-1989,3.0833333333333335,3.0,2.0,434.52586580086574,Vlaams-Brabant
CH06,1980-1989,3.0,10.866666666666667,1.0,676.6083333333333,Zentralschweiz
DE21,1980-1989,3.0,239.42916666666667,11.833333333333334,8027.063558663559,Oberbayern
DEF0,1980-1989,3.0,27.116666666666667,0.0,1266.0031024531024,Schleswig-Holstein
ES30,1980-1989,3.0,0.0,0.0,231.06706349206348,Madrid
FI19,1980-1989,3.0,4.4,1.0,327.0119047619047,Lansi-Suomi
NL12,1980-1989,3.0,0.0,1.0,94.57499999999999,Friesland
NO02,1980-1989,3.0,0.0,1.5,27.833333333333336,Hedmark og Oppland
UKC4,1980-1989,3.0,2.0,3.5,255.14523809523808,UKC4
UKD6,1980-1989,3.0,2.0,3.583333333333334,620.2238095238095,Cheshire
DE25,1980-1989,2.9333333333333336,90.0250742721331,6.333333333333333,2616.3040797936155,Mittelfranken
SE12,1980-1989,2.8333333333333335,23.357142857142858,5.266666666666667,1046.7120299635005,Ostra Mellansverige
ITI1,1980-1989,2.75,0.0,1.0,532.3027777777777,Toscana
UKM3,1980-1989,2.666666666666667,0.0,2.25,169.31111111111113,South Western Scotland
FRJ1,1980-1989,2.5,1.3333333333333335,1.0,396.2106060606061,Languedoc-Roussillon
UKE2,1980-1989,2.5,0.0,3.3333333333333335,193.10000000000002,North Yorkshire
DEA1,1980-1989,2.4523809523809526,91.73287545787547,1.6666666666666665,6471.512327949828,Dusseldorf
DE30,1980-1989,2.3333333333333335,55.59166666666667,2.0,1771.6391284154442,Berlin
FRC1,1980-1989,2.3333333333333335,9.25,1.0,542.0749999999999,Bourgogne
DE71,1980-1989,2.297619047619048,146.06825396825394,1.5,6482.77885031635,Darmstadt
UKI4,1980-1989,2.25,0.0,1.3333333333333335,136.9364468864469,Outer London - East
BE23,1980-1989,2.0,0.0,3.166666666666667,317.06388888888887,Oost-Vlaanderen
DE60,1980-1989,2.0,17.849999999999998,0.0,825.4325036075036,Hamburg
DK02,1980-1989,2.0,7.333333333333334,0.0,189.29285714285714,Sjaelland
DK03,1980-1989,2.0,6.0,2.0,212.51666666666665,Syddanmark
NL11,1980-1989,2.0,0.0,1.0,110.87142857142857,Groningen
NL13,1980-1989,2.0,2.0,0.5,103.58333333333333,Drenthe
NO0A,1980-1989,2.0,3.0,0.0,148.8722222222222,NO0A
SE31,1980-1989,2.0,8.5,1.0,418.4270923520923,Norra Mellansverige
UKE1,1980-1989,2.0,1.5,1.0,173.53710039960038,East Yorkshire and Northern Lincolnshire
UKM1,1980-1989,1.8333333333333335,0.5,6.0,113.03333333333335,UKM1
FRF3,1980-1989,1.75,5.0,1.0,562.109126984127,Lorraine
ITC3,1980-1989,1.75,0.0,1.0,242.3095238095238,Liguria
FRH0,1980-1989,1.6666666666666667,3.0,3.0,522.5686813186813,Bretagne
DE14,1980-1989,1.5,49.09285714285715,1.0,1767.8482170607172,Tubingen
ITZZ,1980-1989,1.5,0.33333333333333337,0.0,60.1718253968254,ITZZ
UKL5,1980-1989,1.5,0.0,0.0,172.55,UKL5
FRI3,1980-1989,1.3333333333333335,3.5,0.0,254.73333333333332,Poitou-Charentes
HU11,1980-1989,1.3333333333333333,7.0,1.0,535.7347582156406,Budapest
UKM2,1980-1989,1.1666666666666667,2.0,0.5,86.35,Eastern Scotland
AT31,1980-1989,1.0,24.866666666666667,0.0,788.6676587301588,Oberosterreich
AT33,1980-1989,1.0,4.0,0.0,247.96666666666667,Tirol
BE25,1980-1989,1.0,2.25,2.5,387.13174603174605,West-Vlaanderen
CH04,1980-1989,1.0,75.18333333333334,3.7333333333333334,2529.5325396825397,Zurich
CH07,1980-1989,1.0,6.866666666666667,0.0,279.05,Ticino
DEA5,1980-1989,1.0,51.017765567765565,0.0,2280.7033438783437,Arnsberg
FI1C,1980-1989,1.0,4.25,1.4,328.4944444444444,Etela-Suomi
FRB0,1980-1989,1.0,6.583333333333333,1.0,624.5790043290044,Centre-Val de Loire
FRE2,1980-1989,1.0,6.333333333333334,0.16666666666666666,574.702380952381,Picardie
FRF2,1980-1989,1.0,1.0,1.4285714285714286,287.7285714285714,Champagne-Ardenne
FRG0,1980-1989,1.0,4.0,1.5,506.02777777777777,Pays de la Loire
IE04,1980-1989,1.0,0.0,1.0,12.333333333333332,Northern and Western
IS01,1980-1989,1.0,0.0,0.0,7.2,IS01
ITF4,1980-1989,1.0,1.0,1.0,62.116666666666674,Puglia
ITI2,1980-1989,1.0,1.0,0.0,85.10952380952381,Umbria
ITI3,1980-1989,1.0,0.0,0.0,158.33333333333331,Marche
LIZZ,1980-1989,1.0,5.866666666666667,0.0,121.36904761904762,LIZZ
NL34,1980-1989,1.0,0.0,1.5,86.88333333333334,NL34
NO06,1980-1989,1.0,1.0,0.0,68.6984126984127,Trondelag
NO09,1980-1989,1.0,2.3333333333333335,0.0,125.50952380952381,NO09
PL91,1980-1989,1.0,0.6666666666666667,3.0,65.39087301587301,Warszawski stoleczny
PT15,1980-1989,1.0,0.0,0.0,3.0,Algarve
SEZZ,1980-1989,1.0,0.0,0.0,23.80952380952381,SEZZ
UKC3,1980-1989,1.0,0.0,0.33333333333333337,167.76785714285717,UKC3
UKD1,1980-1989,1.0,0.0,0.0,69.16666666666667,Cumbria
UKH5,1980-1989,1.0,0.0,1.0,102.78015873015872,UKH5
UKK1,1980-1989,1.0,0.0,0.33333333333333337,90.99285714285713,"Gloucestershire, Wiltshire"
UKK2,1980-1989,1.0,0.0,0.0,6.333333333333334,Dorset and Somerset
BE10,1980-1989,0.8333333333333334,0.0,1.25,321.24682539682544,Bruxelles
AT13,1980-1989,0.75,17.75,0.0,873.0703546453547,Wien
DE92,1980-1989,0.6666666666666667,23.566666666666666,2.0,1421.604797979798,Hannover
FRD1,1980-1989,0.6666666666666667,0.5,0.0,197.26190476190476,Basse-Normandie
FRD2,1980-1989,0.6666666666666667,4.0,4.0,476.44404761904764,Haute-Normandie
ME19,1980-1989,0.6666666666666667,0.0,0.6666666666666667,13.083333333333334,ME19
