year,country,nouveaute_count,influence_count,rupture_count,total_patents,nouveaute_share,influence_share,rupture_share,population,nouveaute_per_million,influence_per_million,rupture_per_million
1988,NL,96.16666666666667,19.358333333333334,132.66666666666669,11180.952105642895,0.10268182869752461,0.007796871853393302,0.1760068987628661,14760094,6.515315327034277,1.3115318461612326,8.988199307312453
1988,NO,9.0,2.0,0.0,768.4062770562771,0.009609737867705942,0.0008055313150298719,0.0,4209488,2.1380272375167713,0.4751171638926159,0.0
1988,PL,0.0,0.0,0.0,120.04166666666667,0.0,0.0,0.0,37824487,0.0,0.0,0.0
1988,PT,0.0,1.0,0.0,53.333333333333336,0.0,0.00040276565751493597,0.0,10019610,0.0,0.09980428379946923,0.0
1988,SE,48.25,88.0,35.0,5259.059199134199,0.05151887245742352,0.035443377861314365,0.04643398082939934,8436489,5.719203806227923,10.43087948078875,4.14864524804098
1988,SI,0.0,0.0,0.0,19.5,0.0,0.0,0.0,1995196,0.0,0.0,0.0
1988,SK,0.0,0.0,0.0,6.999999999999998,0.0,0.0,0.0,5250596,0.0,0.0,0.0
1988,UA,0.0,0.0,0.0,8.208333333333329,0.0,0.0,0.0,51724853,0.0,0.0,0.0
1989,AT,4.0,108.04761904761904,0.0,4236.020808139229,0.004031846789821986,0.03756718922422678,0.0,7619567,0.5249642138457474,14.180283347809533,0.0
1989,BE,7.5,11.714285714285714,21.666666666666668,3403.1039405039405,0.007559712730916224,0.004072952203243626,0.018976717027954164,9937697,0.7547020199951759,1.178772678849608,2.180250279986064
1989,BG,0.0,1.0,0.0,47.0,0.0,0.0003476910417403095,0.0,8876972,0.0,0.11265102559746724,0.0
1989,BY,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10170000,0.0,0.0,0.0
1989,CH,29.5,249.71428571428572,16.5,14675.779642171554,0.02973487007493715,0.0868234201374373,0.01445149989051894,6646912,4.438151129426717,37.56846573480824,2.4823557164590113
1989,CY,0.0,0.0,0.0,2.0,0.0,0.0,0.0,777420,0.0,0.0,0.0
1989,CZ,0.0,0.0,0.0,23.5,0.0,0.0,0.0,10361068,0.0,0.0,0.0
1989,DE,49.3,1808.7142857142858,84.83333333333333,88684.63440970263,0.049692511684555976,0.6288737542105799,0.07430114590175899,78751283,0.6260215468489573,22.967426266747754,1.0772311269307615
1989,DK,115.0,41.5,22.0,2327.372619047619,0.11591559520738211,0.014429178232222846,0.01926866652069192,5132594,22.40582442328382,8.08558011796764,4.286331628802122
1989,EE,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1568131,0.0,0.0,0.0
1989,ES,18.0,3.0,11.0,1052.7097402597403,0.01814331055419894,0.0010430731252209287,0.00963433326034596,38827764,0.46358579906893427,0.07726429984482237,0.2833024327643487
1989,FI,6.0,35.0,15.0,2268.616666666667,0.00604777018473298,0.012169186460910834,0.013137727173199037,4964371,1.208612329739256,7.050238590145661,3.0215308243481402
1989,FR,48.5,192.38095238095238,120.36904761904762,28957.51691643324,0.04888614232659158,0.06688913374432622,0.10542504718112339,57943062,0.8370285988683167,3.320172350935689,2.077367737642992
1989,GB,299.5511904761905,188.58095238095237,321.8809523809524,31447.578196584116,0.3019361264271958,0.06556790778571303,0.2819189423086949,57076711,5.2482209508566555,3.303991226490825,5.639444648114927
1989,GR,0.0,0.0,1.0,102.58928571428571,0.0,0.0,0.0008758484782132691,10089498,0.0,0.0,0.09911295884096512
1989,HU,0.0,2.0,0.0,563.45,0.0,0.000695382083480619,0.0,10481719,0.0,0.19080839698144933,0.0
1989,IE,15.0,0.0,3.0,318.92261904761904,0.015119425461832448,0.0,0.0026275454346398074,3511009,4.27227614625881,0.0,0.8544552292517621
1989,IS,0.0,0.0,0.0,16.0,0.0,0.0,0.0,252852,0.0,0.0,0.0
1989,IT,176.5,33.0,95.0,13119.739327094474,0.17790523960089513,0.011473804377430214,0.08320560543026057,56671781,3.114424796354997,0.5823003868539088,1.6763192954885253
1989,LI,13.5,2.0000000000000013,0.0,485.9960372960373,0.013607482915649203,0.0006953820834806196,0.0,28317,476.7454179468164,70.62895080693582,0.0
1989,LT,0.0,0.0,0.0,2.0000000000000013,0.0,0.0,0.0,3684255,0.0,0.0,0.0
1989,LU,0.0,1.5,2.0,368.4166666666667,0.0,0.0005215365626104644,0.0017516969564265383,377100,0.0,3.977724741447892,5.303632988597189
1989,LV,0.0,0.0,0.0,2.5000000000000018,0.0,0.0,0.0,2666955,0.0,0.0,0.0
1989,MC,0.0,0.0,0.0,85.16666666666667,0.0,0.0,0.0,30084,0.0,0.0,0.0
1989,NL,93.25,28.964285714285715,382.5,12939.470085470086,0.09399242828772505,0.010070622673263967,0.33501204291657544,14848907,6.279923498746406,1.9506005199093586,25.75947172408043
1989,NO,1.0,3.1666666666666656,4.0,923.9583333333334,0.0010079616974554965,0.0011010216321776466,0.0035033939128530766,4226901,0.23657994355675707,0.7491698212630639,0.9463197742270283
1989,PL,2.0,6.0,3.0,106.46428571428572,0.002015923394910993,0.0020861462504418575,0.0026275454346398074,37961529,0.05268491687992863,0.15805475063978588,0.07902737531989294
1989,PT,1.0,0.0,0.0,34.525,0.0010079616974554965,0.0,0.0,10005000,0.09995002498750624,0.0,0.0
