year,technology,novelty_index,avg_backward_sum,total_patents
1991,C12N,0.1082724362936924,93146.60789247768,1153.5146997702786
1992,C12N,0.11968688125596247,97068.21433699435,997.3108156713167
1993,C12N,0.1244498865580851,97608.54972296458,1032.8592522710178
1994,C12N,0.1367246428835602,96734.2054879243,1162.0866814212925
1995,C12N,0.14458160981189783,96709.41298114615,1340.5233283629927
1996,C12N,0.13985737000987036,98887.34575564555,1514.1792143906946
1997,C12N,0.14067368066565444,102852.8812904046,1693.176075149271
1998,C12N,0.13250958382115413,111953.14205588916,2110.7188739579856
1999,C12N,0.12314185339816142,123094.36048719811,2376.6197164246155
2000,C12N,0.10987715905408825,136641.36649666794,2564.839997072977
2001,C12N,0.10609808678673328,151218.74685420087,2410.121564607994
2002,C12N,0.0992951056057231,165132.3924884238,2679.254679244078
2003,C12N,0.09831845336947617,174320.99448569422,2730.6788122991134
2004,C12N,0.09917158577922897,181942.7639474203,2656.751915338494
2005,C12N,0.10132309401978869,188903.75319998566,2723.902145782177
2006,C12N,0.09875531500414426,195500.27834490992,2710.632245849728
2007,C12N,0.09429337606696327,204797.02324380237,2769.010137037545
2008,C12N,0.09110396717148721,212218.68856364946,2757.1131688750847
2009,C12N,0.09342921342702955,215948.75931449077,2574.3466402790887
2010,C12N,0.09611847480979863,217841.5628942824,2678.0253503981858
2011,C12N,0.09591587868692714,219313.88450590565,2647.531905512346
2012,C12N,0.09999796523480971,219494.04311703186,2610.508918385065
2013,C12N,0.1018007119457665,227625.57916622522,2757.9186362766923
2014,C12N,0.09828217456814177,239004.42371829256,3126.5480769145984
2015,C12N,0.09887932415114085,243810.11053984272,3066.6529280212644
2016,C12N,0.10095924641947107,245215.07933552578,3425.6512257653153
2017,C12N,0.09189485707423294,259857.74879906565,3364.12134634888
2018,C12N,0.08594109824788956,274047.05571875296,3316.4790814447824
2019,C12N,0.08767304178384705,282174.4887234147,3442.691242603244
2020,C12N,0.08421613933381446,288988.70438972063,3682.725797807893
2021,C12N,0.07604908660571454,300626.42841348745,3849.3008445079977
2022,C12N,0.0668335607175723,311033.968330287,3356.270024925554
2023,C12N,0.06323634443582907,301966.5840393091,2343.757111410154
2024,C12N,0.11311955422670436,267306.0435062106,88.12194950024151
1984,G06N,0.26772906800910257,38645.804387019234,3.25
1985,G06N,0.3518292171700725,40074.0549471209,10.908333333333331
1986,G06N,0.2766286438119224,49961.43418950389,19.233333333333334
1987,G06N,0.2454188867533829,56748.27262171184,22.722727272727273
1988,G06N,0.2833533148421571,58691.35914322978,61.55714285714285
1989,G06N,0.2427362383299815,67992.06273718512,146.80584415584414
1990,G06N,0.20199293426024345,77726.39319189858,200.35443722943722
1991,G06N,0.2041927791110455,83127.11884115273,191.18555555555554
1992,G06N,0.19013934805332308,89299.7340064807,132.77436925225095
1993,G06N,0.21920827273114601,87044.64423492686,93.52510442773601
1994,G06N,0.20295021665208957,89313.30761487575,104.80054112554113
1995,G06N,0.1621203080599883,94726.57366943423,84.3453211517165
1996,G06N,0.16144850345338943,96405.0947851175,60.40281907634849
1997,G06N,0.1534423191984525,101324.6012485792,53.03352203352203
1998,G06N,0.17750047664571533,106146.88561585148,74.14621848739495
1999,G06N,0.15718714080076113,118315.0436767576,58.872929847929846
2000,G06N,0.15181924691949272,130202.90212296198,104.55130286380287
2001,G06N,0.11756151916222733,149279.51185218728,93.7023088023088
2002,G06N,0.1371033283696835,158200.7522590824,91.20092685092685
2003,G06N,0.12007638893532367,170114.5593202329,75.4000111000111
2004,G06N,0.12632392445095628,176458.73228547076,84.23412220207638
2005,G06N,0.145777166476822,179559.41478839793,69.79221230838877
2006,G06N,0.13937840838557067,186688.21410140579,94.74379509379509
2007,G06N,0.15488291268076604,191096.6081089942,94.64633879192704
2008,G06N,0.13199662459359746,202670.63706319782,116.19903064256006
2009,G06N,0.14731545027015427,203112.843837456,110.47840003134121
