country,period,nouveaute_per_million,influence_per_million,rupture_per_million,total_patents
SK,all,0.5405129299408673,0.2293954873023678,0.21409895856786615,8910.93963741367
SM,all,37.63105344087897,1.3428406451006458,7.368382271672255,1311.4095238095238
UA,all,0.11294135779924958,0.022045329233604617,0.05969957855992487,7171.623544283374
AT,1985-1989,0.5806679840384459,12.620740713207763,0.0,19298.04499184906
BE,1985-1989,1.7048771456419949,1.6134780386694214,2.0068092949257528,15683.946332290898
BG,1985-1989,0.0,0.24562326686391756,0.0,438.8877192982456
BY,1985-1989,0.0,0.0,0.0,9.0
CH,1985-1989,4.491658937291288,28.60314308827742,1.663924741136905,63952.63597823745
CY,1985-1989,0.0,0.0,0.0,22.0
CZ,1985-1989,0.0,0.0,0.0,41.0
DE,1985-1989,0.6568600870058685,21.3816536789932,0.4306919183099815,367617.9156287003
DK,1985-1989,8.78317709699032,4.903223987152211,2.067333914837781,8522.115963203463
EE,1985-1989,0.0,0.0,0.0,3.0
ES,1985-1989,0.26071083045088783,0.03623303849285572,0.06697855680339945,4261.547727272728
FI,1985-1989,2.6615882727207905,4.816549104515445,1.579545906288336,7346.438095238095
FR,1985-1989,1.0868857661536437,2.8901299560253086,0.8867055549227837,120798.07131203763
GB,1985-1989,4.751127765350566,1.6955449422402178,4.616997037582461,128560.91571462163
GR,1985-1989,0.0,0.007999524028320316,0.019822591768193024,358.89761904761906
HR,1985-1989,0.0,0.0,0.0,3.0000000000000018
HU,1985-1989,0.07512644955310561,0.8097586988520902,0.0,3246.0969887955184
IE,1985-1989,2.0411306631359603,0.22695363819448167,0.43518600222456555,1678.269264069264
IS,1985-1989,0.0,0.0,0.0,60.5
IT,1985-1989,1.824177304609837,0.47507286424715806,1.3351601844976206,53945.845808346916
LI,1985-1989,95.34908358936329,511.44897462582975,0.0,1632.6254023754025
LT,1985-1989,0.0,0.0,0.0,2.0000000000000013
LU,1985-1989,0.0,16.965378172000886,1.8640469886686948,1671.5238095238096
LV,1985-1989,0.0,0.0,0.0,8.5
MC,1985-1989,0.0,0.0,0.0,285.4821428571429
MT,1985-1989,0.0,0.0,0.0,4.0
NL,1985-1989,6.0843473509811,1.6490888235702126,12.534522564805474,50876.894703992824
NO,1985-1989,1.193121920616341,1.3477009685277515,0.8124887311877173,3721.4958428826076
PL,1985-1989,0.010536983375985725,0.05291564246251947,0.01580547506397859,558.7142857142857
PT,1985-1989,0.019990004997501247,0.01996085675989385,0.0,186.225
RO,1985-1989,0.0,0.0,0.0,13.0
SE,1985-1989,11.603007316828394,11.46818101338605,4.0482608618428735,28116.11038961039
SI,1985-1989,0.0,0.0,0.0,41.5
SK,1985-1989,0.0,0.0,0.0,14.0
SM,1985-1989,0.0,0.0,0.0,3.5
UA,1985-1989,0.0,0.012941030648009952,0.0,55.95833333333333
AT,1990-1994,1.3879913809332187,15.603295152100207,0.25598633785914693,21155.468774199657
BE,1990-1994,1.6065739038444888,3.389218502689487,1.774967139766123,23048.66572601375
BG,1990-1994,0.0,0.06711204588979575,0.0,112.03333333333333
BY,1990-1994,0.0,0.0,0.0,87.68333333333334
CH,1990-1994,9.244791208142441,34.4280489086907,4.277167357597611,72731.40366708455
CY,1990-1994,0.0,2.878800016021148,0.48424156874898605,116.25
CZ,1990-1994,0.07748569600875863,0.4453313238348725,0.0,331.90555555555557
DE,1990-1994,0.9726945767910008,24.57709121114645,1.2864713083098984,425303.9925036068
DK,1990-1994,2.7498322024159045,4.309182056101605,1.7421815457420469,15147.784815769026
EE,1990-1994,0.0,0.0,0.0,11.833333333333332
ES,1990-1994,0.5424508909565999,0.020518270405854855,0.5251815011392454,7765.585271672771
FI,1990-1994,9.294094443901798,7.376419404913771,20.420254082724277,15853.283982683983
