,date,J - Information et communication,"M - Activités spécialisées, scientifiques et techniques","B,C - Industrie",N - Activités de services administratifs et de soutien,K - Activités financières et d'assurance,P - Enseignement,G - Commerce,S - Autres services,"D,E - Electricité - Eau",L - Activités immobilières,H - Transports et entreposage,0 - Administration,F - Construction,I - Hébergement et restauration,Q - Santé humaine et action sociale,"R - Arts, spectacles et activités récréatives",A - Agriculture,nan
10,2019-11-01,0.35674931129476584,0.13429752066115702,0.25826446280991733,0.05785123966942149,0.07782369146005509,0.008264462809917356,0.022038567493112945,0.024104683195592284,0.010330578512396695,0.009641873278236915,0.002066115702479339,0.0048209366391184574,0.012396694214876033,0.007575757575757575,0.002754820936639118,0.010330578512396695,0.0006887052341597795,0.0
11,2019-12-01,0.3348519362186788,0.13610478359908884,0.270501138952164,0.049544419134396354,0.08656036446469248,0.007972665148063782,0.02391799544419134,0.021070615034168565,0.023348519362186786,0.006264236902050113,0.002277904328018223,0.007403189066059224,0.011389521640091115,0.006833712984054669,0.0005694760820045558,0.01082004555808656,0.0005694760820045558,0.0
12,2020-01-01,0.33569979716024345,0.14046653144016227,0.2464503042596349,0.05476673427991887,0.0755578093306288,0.008620689655172415,0.03448275862068966,0.01825557809330629,0.04107505070993915,0.006592292089249493,0.008113590263691683,0.007099391480730225,0.007099391480730225,0.006592292089249493,0.0015212981744421909,0.007099391480730225,0.0005070993914807302,0.0
13,2020-02-01,0.3281653746770026,0.1648578811369509,0.20723514211886304,0.060981912144702846,0.07338501291989664,0.013953488372093023,0.04082687338501292,0.012403100775193798,0.05426356589147287,0.0067183462532299735,0.013436692506459947,0.0067183462532299735,0.003617571059431525,0.00723514211886305,0.0020671834625322996,0.004134366925064599,0.0,0.0
14,2020-03-01,0.33407946278679346,0.16452154448796863,0.17907106883044208,0.07162842753217682,0.06827084499160603,0.01902630106323447,0.04364857302742025,0.013989927252378288,0.05763850027979854,0.00783435926133184,0.0195858981533296,0.006715165081141577,0.0022383883603805258,0.0072747621712367086,0.0033575825405707887,0.0011191941801902629,0.0,0.0
15,2020-04-01,0.31979320531757754,0.19571639586410633,0.14623338257016247,0.07680945347119644,0.08419497784342687,0.019940915805022157,0.03323485967503693,0.0206794682422452,0.05539143279172821,0.006646971935007385,0.0206794682422452,0.0103397341211226,0.0,0.005908419497784342,0.003692762186115214,0.0007385524372230428,0.0,0.0
16,2020-05-01,0.3477822580645161,0.19858870967741934,0.11391129032258063,0.07862903225806452,0.08669354838709677,0.01915322580645161,0.021169354838709676,0.028225806451612902,0.04133064516129032,0.011088709677419354,0.020161290322580645,0.014112903225806451,0.00907258064516129,0.006048387096774193,0.004032258064516129,0.0,0.0,0.0
17,2020-06-01,0.33793969849246236,0.26005025125628145,0.08165829145728644,0.07035175879396986,0.09296482412060303,0.015075376884422112,0.01256281407035176,0.0314070351758794,0.02512562814070352,0.013819095477386936,0.016331658291457288,0.016331658291457288,0.013819095477386936,0.008793969849246233,0.003768844221105528,0.0,0.0,0.0
18,2020-07-01,0.3009079118028534,0.2840466926070039,0.11932555123216602,0.08560311284046693,0.0622568093385214,0.020752269779507133,0.018158236057068743,0.019455252918287938,0.01297016861219196,0.020752269779507133,0.011673151750972763,0.010376134889753566,0.016861219195849545,0.010376134889753566,0.00648508430609598,0.0,0.0,0.0
19,2020-08-01,0.27187864644107357,0.3197199533255543,0.10618436406067679,0.09101516919486582,0.05834305717619605,0.016336056009334892,0.03033838973162194,0.0280046674445741,0.008168028004667446,0.019836639439906656,0.010501750291715288,0.008168028004667446,0.007001166861143525,0.01400233372228705,0.007001166861143525,0.0035005834305717625,0.0,0.0
20,2020-09-01,0.3150943396226415,0.27169811320754716,0.10377358490566038,0.11226415094339623,0.03962264150943397,0.013207547169811323,0.03773584905660378,0.02547169811320755,0.008490566037735849,0.016981132075471698,0.016037735849056607,0.0056603773584905665,0.0056603773584905665,0.012264150943396225,0.011320754716981133,0.004716981132075472,0.0,0.0
21,2020-10-01,0.35232383808095946,0.2616191904047976,0.09970014992503748,0.0967016491754123,0.037481259370314844,0.011244377811094452,0.031484257871064465,0.03073463268365817,0.010494752623688156,0.012743628185907047,0.013493253373313342,0.005247376311844078,0.005247376311844078,0.015742128935532233,0.009745127436281857,0.005997001499250375,0.0,0.0
22,2020-11-01,0.35368043087971274,0.2220227408737283,0.1603830041891083,0.07719928186714542,0.04727707959305805,0.007779772591262717,0.025134649910233394,0.024536205864751644,0.013165769000598444,0.011370436864153202,0.011370436864153202,0.0047875523638539795,0.003590664272890485,0.010173548773189708,0.01196888090963495,0.013165769000598444,0.0023937761819269898,0.0
23,2020-12-01,0.3079049198452184,0.2498618021006081,0.1967938087341073,0.058043117744610295,0.057490326147042574,0.009950248756218907,0.017689331122166946,0.021558872305140964,0.021558872305140964,0.010503040353786623,0.012161415146489775,0.0033167495854063023,0.0027639579878385853,0.008291873963515757,0.006633499170812605,0.011055831951354341,0.0044223327805417365,0.0
24,2021-01-01,0.2517482517482518,0.2441724941724942,0.2208624708624709,0.0710955710955711,0.06410256410256411,0.014568764568764573,0.02447552447552448,0.017482517482517487,0.03146853146853147,0.011072261072261074,0.015734265734265736,0.0029137529137529144,0.0023310023310023314,0.004662004662004663,0.006410256410256411,0.01223776223776224,0.004662004662004663,0.0
25,2021-02-01,0.2127388535031847,0.3050955414012738,0.17070063694267515,0.08980891719745222,0.07070063694267516,0.019745222929936305,0.027388535031847135,0.009554140127388535,0.03312101910828025,0.010828025477707006,0.024203821656050954,0.0044585987261146496,0.007643312101910827,0.0044585987261146496,0.0025477707006369425,0.0038216560509554136,0.003184713375796178,0.0
26,2021-03-01,0.19953461314717857,0.32111692844677137,0.13787085514834205,0.10005817335660268,0.07504363001745201,0.025596276905177427,0.034904013961605584,0.014543339150668995,0.029668411867364748,0.013379872018615475,0.020942408376963352,0.004653868528214078,0.009307737056428156,0.0034904013961605585,0.0034904013961605585,0.005817335660267597,0.0005817335660267597,0.0
27,2021-04-01,0.20418271876719862,0.3505778756191524,0.12823335167859104,0.0935608145294441,0.07870115575123827,0.026417171161254808,0.026417171161254808,0.01210787011557512,0.0236653824986241,0.013758943313153546,0.017611447440836536,0.0055035773252614184,0.008255365987892128,0.0016510731975784255,0.003302146395156851,0.0055035773252614184,0.0005503577325261418,0.0
28,2021-05-01,0.2155255544840887,0.33751205400192863,0.12729026036644164,0.10703953712632594,0.07184185149469623,0.027965284474445514,0.03278688524590164,0.013982642237222757,0.022179363548698167,0.014464802314368369,0.009161041465766634,0.005785920925747348,0.0048216007714561235,0.0033751205400192863,0.0024108003857280617,0.0038572806171648984,0.0,0.0
29,2021-06-01,0.2370403190075321,0.3052724856003544,0.12007089056269384,0.13114754098360656,0.0620292423571112,0.033229951262738144,0.03234381922906513,0.00974745237040319,0.01949490474080638,0.01949490474080638,0.00974745237040319,0.00664599025254763,0.005316792202038103,0.003987594151528578,0.0013291980505095258,0.0031014621178555605,0.0,0.0
30,2021-07-01,0.22766122766122765,0.29176379176379175,0.12509712509712506,0.13519813519813517,0.06954156954156952,0.034188034188034185,0.03224553224553224,0.012043512043512042,0.014374514374514374,0.02331002331002331,0.010489510489510488,0.006216006216006215,0.006993006993006992,0.005827505827505827,0.0019425019425019423,0.0027195027195027195,0.00038850038850038845,0.0
31,2021-08-01,0.25348399246704334,0.2741996233521657,0.12994350282485875,0.12278719397363466,0.07608286252354049,0.032015065913371,0.03088512241054614,0.010546139359698682,0.010922787193973634,0.023352165725047083,0.012429378531073447,0.004519774011299435,0.0064030131826742,0.0064030131826742,0.0018832391713747647,0.0037664783427495295,0.0003766478342749529,0.0
32,2021-09-01,0.2673156121302883,0.27255709472107825,0.13478098090602772,0.11269187570198427,0.07600149756645452,0.028453762635716962,0.037813552976413325,0.013852489704230628,0.004867090977162112,0.017596405840509175,0.008985398727068515,0.0041183077499064025,0.00786222388618495,0.005615874204417822,0.002995132909022838,0.002995132909022838,0.001497566454511419,0.0
33,2021-10-01,0.2881255552265325,0.26917382291975134,0.1341427302339355,0.11696772283091504,0.06721942552561448,0.023689665383476468,0.03198104826769323,0.016878886585726983,0.0062185371631625725,0.009771986970684042,0.0068107787977494845,0.005626295528575661,0.011548711874444777,0.0062185371631625725,0.0026650873556411025,0.001776724903760735,0.0011844832691738233,0.0
34,2021-11-01,0.26862799010173216,0.25433049216387127,0.1553478141325268,0.11547979103656858,0.06901292273852075,0.025020621391256527,0.02941985152598295,0.020896343139950504,0.013197690404179266,0.008798460269452845,0.009073412152873246,0.005499037668408028,0.013747594171020072,0.004674182018146824,0.003574374484465218,0.0010998075336816056,0.002199615067363211,0.0
35,2021-12-01,0.2589197224975223,0.24950445986124878,0.16204162537165512,0.10753221010901882,0.07631318136769079,0.028741328047571853,0.023290386521308225,0.02205153617443013,0.015113974231912785,0.008424182358771062,0.015857284440039643,0.003964321110009911,0.013131813676907831,0.003964321110009911,0.0029732408325074335,0.0029732408325074335,0.005203171456888008,0.0
36,2022-01-01,0.25294720656073805,0.22988211173757048,0.18528959507944642,0.09866735007688365,0.08021527421834955,0.02690927729369554,0.02485904664274731,0.01742696053305997,0.012813941568426449,0.015120451050743208,0.022552537160430545,0.002819067145053818,0.014864172219374678,0.0030753459764223472,0.0020502306509482316,0.00486929779600205,0.005381855458739108,0.00025627883136852895
37,2022-02-01,0.27619519445132523,0.23012137726034185,0.16918503839484764,0.10255139955412435,0.06712905622987367,0.027495665097844933,0.024275452068367596,0.014614812979935596,0.015357939063661135,0.014367104285360414,0.02378003467921724,0.003963339113202873,0.013871686896210057,0.004211047807778053,0.0019816695566014365,0.005449591280653951,0.005201882586078771,0.00024770869457517957
38,2022-03-01,0.27852793222133976,0.22398729150119145,0.16891712999735242,0.1098755626158327,0.0675138999205719,0.02091607095578502,0.026211278792692617,0.0105904156738152,0.021710352131321158,0.0172094254699497,0.02038655017209426,0.0058247286205983595,0.01217897802488748,0.00635424940428912,0.0026476039184538,0.005030447445062219,0.0013238019592269,0.00079428117553614
39,2022-04-01,0.26385613207547176,0.22906839622641517,0.14917452830188682,0.1173349056603774,0.07547169811320757,0.020341981132075478,0.03714622641509435,0.016214622641509437,0.02948113207547171,0.012676886792452834,0.018867924528301893,0.007370283018867927,0.007665094339622643,0.006191037735849059,0.003242924528301888,0.002948113207547171,0.0011792452830188683,0.0017688679245283026
40,2022-05-01,0.23531397704253884,0.23497636731937882,0.14280891289669143,0.13166779203241055,0.07900067521944633,0.02295746117488184,0.04321404456448346,0.018906144496961517,0.021944632005401758,0.016205266711681297,0.01721809588116138,0.008777852802160702,0.01046590141796084,0.0054017555705604325,0.00573936529372046,0.0027008777852802163,0.00033760972316002703,0.0023632680621201896
41,2022-06-01,0.2448979591836735,0.23952738990332978,0.13533834586466167,0.1263873970640888,0.06659505907626209,0.032939491586108136,0.047977085571070534,0.024704618689581098,0.012889366272824922,0.015395631936985323,0.015037593984962409,0.008234872896527034,0.012889366272824922,0.006086645184389546,0.006444683136412461,0.0025062656641604013,0.00035803795202291446,0.0017901897601145724
42,2022-07-01,0.25943196269605767,0.24756252649427724,0.12293344637558289,0.11784654514624843,0.05129292072912252,0.0470538363713438,0.04366256888512082,0.02501059771089445,0.009325985587113185,0.016108520559559136,0.01483679525222552,0.005934718100890209,0.013565069944891903,0.009749894022891057,0.009325985587113185,0.005086901229334464,0.000847816871555744,0.000423908435777872
43,2022-08-01,0.26644736842105265,0.2673872180451128,0.11889097744360903,0.10338345864661655,0.054041353383458654,0.04323308270676692,0.0455827067669173,0.025375939849624062,0.009398496240601505,0.012687969924812031,0.015037593984962407,0.005639097744360903,0.01080827067669173,0.01080827067669173,0.006109022556390978,0.0046992481203007525,0.0004699248120300752,0.0
44,2022-09-01,0.27470856563608714,0.27116066903193103,0.11657374556512924,0.11454637607704002,0.0542321338063862,0.038520020273694874,0.03902686264571718,0.02027369488089204,0.007602635580334515,0.010643689812468321,0.015712113532691332,0.00506842372022301,0.01013684744044602,0.011657374556512924,0.00506842372022301,0.004561581348200709,0.000506842372022301,0.0
45,2022-10-01,0.28046989720998533,0.24632892804698972,0.12958883994126286,0.11013215859030837,0.06424375917767988,0.029368575624082235,0.04441997063142438,0.026064610866372982,0.006240822320117474,0.017988252569750365,0.010279001468428781,0.007709251101321586,0.011747430249632892,0.007342143906020559,0.0036710719530102793,0.003303964757709251,0.0011013215859030838,0.0
