,zone,ia,ia_rel,gen,gen_rel,total_offers
74,Sens,7.0,4.073556797020484e-05,0.0,0.0,171840.0
60,Avallon,2.0,2.7020454484044422e-05,0.0,0.0,74018.0
9,Nevers,0.0,0.0,0.0,0.0,189372.0
130,Remiremont,1.0,6.955408873710641e-06,0.0,0.0,143773.0
131,Romilly-sur-Seine,10.0,6.202396606048577e-05,0.0,0.0,161228.0
116,Valenciennes,53.0,0.00010972948576208163,0.0,0.0,483006.0
117,Bar-le-Duc,2.0,1.6721289545849775e-05,0.0,0.0,119608.0
38,Rambouillet,43.0,0.0003928267999232617,0.0,0.0,109463.0
260,Les Sources de la Loire,0.0,0.0,0.0,0.0,117647.0
262,Montélimar,1.0,5.653870074065698e-06,0.0,0.0,176870.0
121,Colmar,37.0,8.382324622512205e-05,0.0,0.0,441405.0
120,Chaumont,2.0,9.849596659016814e-06,0.0,0.0,203054.0
119,Charleville-Mézières,0.0,0.0,0.0,0.0,16316.0
123,Épinal,26.0,9.003081824162886e-05,0.0,0.0,288790.0
113,Saint-Omer,7.0,3.8515714411479884e-05,0.0,0.0,181744.0
114,Saint-Quentin,0.0,0.0,0.0,0.0,109681.0
108,Laon,0.0,0.0,0.0,0.0,8794.0
111,Maubeuge,11.0,5.5480740617450205e-05,0.0,0.0,198267.0
165,Auray,2.0,1.0765131738299647e-05,0.0,0.0,185785.0
167,Carhaix-Plouguer,3.0,2.5086758372705607e-05,0.0,0.0,119585.0
168,Dinan,1.0,5.4252000542520005e-06,0.0,0.0,184325.0
169,Fougères,1.0,5.9596176309327996e-06,0.0,0.0,167796.0
170,Guingamp,1.0,8.232349841938882e-06,0.0,0.0,121472.0
171,Lamballe-Armor,3.0,1.6261660966051072e-05,0.0,0.0,184483.0
115,Soissons,11.0,8.515513717718462e-05,0.0,0.0,129176.0
164,Segré-en-Anjou Bleu,18.0,0.00010299191513466193,0.0,0.0,174771.0
160,Pornic,2.0,1.400942834527637e-05,0.0,0.0,142761.0
163,Saumur,0.0,0.0,0.0,0.0,184486.0
150,Fontenay-le-Comte,11.0,3.1304427015151344e-05,0.0,0.0,351388.0
152,La Flèche,1.0,8.529657619543152e-06,0.0,0.0,117238.0
154,Laval,27.0,6.211680259510198e-05,0.0,0.0,434665.0
140,Thionville,23.0,5.739740214366819e-05,0.0,0.0,400715.0
142,Verdun,0.0,0.0,0.0,0.0,97834.0
143,Vitry-le-François Saint-Dizier,2.0,1.026046182338667e-05,0.0,0.0,194923.0
144,Ancenis,19.0,8.652488728994945e-05,0.0,0.0,219590.0
146,Challans,6.0,1.7937219730941705e-05,0.0,0.0,334500.0
147,Château-Gontier,0.0,0.0,0.0,0.0,116896.0
196,La Teste-de-Buch,7.0,2.643714191835455e-05,0.0,0.0,264779.0
198,Lesparre-Médoc,2.0,2.7373261797875835e-05,0.0,0.0,73064.0
201,Marmande,24.0,0.00012597631645250694,0.0,0.0,190512.0
157,Les Sables-d'Olonne,0.0,0.0,0.0,0.0,165500.0
158,Mayenne,14.0,6.618571712224501e-05,0.0,0.0,211526.0
191,Châtellerault,35.0,0.00019670325347181242,0.0,0.0,177933.0
97,Arras,27.0,7.627528031165515e-05,0.0,0.0,353981.0
98,Berck,7.0,4.764238266361755e-05,0.0,0.0,146928.0
99,Béthune,23.0,9.037718722616695e-05,0.0,0.0,254489.0
84,Flers,12.0,9.927939704312862e-05,0.0,0.0,120871.0
85,Granville,0.0,0.0,0.0,0.0,82970.0
86,Honfleur Pont-Audemer,8.0,3.392835180307984e-05,0.0,0.0,235791.0
87,L'Aigle,0.0,0.0,0.0,0.0,53784.0
89,Lisieux,0.0,0.0,0.0,0.0,142023.0
91,Saint-Lô,2.0,8.472888873825975e-06,0.0,0.0,236047.0
76,Argentan,0.0,0.0,0.0,0.0,47016.0
77,Avranches,1.0,5.641685284228104e-06,0.0,0.0,177252.0
81,Coutances,0.0,0.0,0.0,0.0,125405.0
83,Evreux,12.0,3.610792659258524e-05,0.0,0.0,332337.0
132,Saint-Avold,6.0,3.9920159680638724e-05,0.0,0.0,150300.0
133,Saint-Dié-des-Vosges,9.0,8.717973555480215e-05,0.0,0.0,103235.0
135,Sarrebourg,13.0,5.29829394934831e-05,0.0,0.0,245362.0
136,Sarreguemines,2.0,1.404050686229773e-05,0.0,0.0,142445.0
137,Sedan,0.0,0.0,0.0,0.0,27318.0
124,Forbach,0.0,0.0,0.0,0.0,88498.0
193,Dax,43.0,0.00013241606976787155,0.0,0.0,324734.0
183,Vitré,83.0,0.00031209343250133487,0.0,0.0,265946.0
187,Bergerac,18.0,0.00010293007616825636,0.0,0.0,174876.0
175,Ploërmel,0.0,0.0,0.0,0.0,175455.0
176,Pontivy-Loudéac,4.0,1.2197018438842625e-05,0.0,0.0,327949.0
178,Quimperlé,0.0,0.0,0.0,0.0,96730.0
228,Mende,0.0,0.0,0.0,0.0,85373.0
229,Millau,2.0,2.2712045333242486e-05,0.0,0.0,88059.0
232,Narbonne,19.0,8.788728224769411e-05,0.0,0.0,216186.0
233,Nîmes,41.0,9.482158509312173e-05,0.0,0.0,432391.0
189,Bressuire,9.0,2.7853084264864264e-05,0.0,0.0,323124.0
190,Brive-la-Gaillarde,16.0,6.605974277987655e-05,0.0,0.0,242205.0
235,Perpignan,38.0,8.979354573445213e-05,0.0,0.0,423193.0
234,Nord-du-Lot,5.0,4.507956543298923e-05,0.0,0.0,110915.0
221,Béziers,8.0,2.7108903241547104e-05,0.0,0.0,295106.0
222,Cahors,10.0,8.128495252958772e-05,0.0,0.0,123024.0
257,Le Livradois,4.0,3.673701805624438e-05,0.0,0.0,108882.0
259,Le Puy en Velay,7.0,3.6262102476701596e-05,0.0,0.0,193039.0
223,Carcassonne-Limoux,7.0,2.5211597334773997e-05,0.0,0.0,277650.0
224,Castelsarrasin-Moissac,0.0,0.0,0.0,0.0,111428.0
236,Rodez,15.0,6.41401162218906e-05,0.0,0.0,233863.0
237,Saint-Gaudens,9.0,7.108723984044864e-05,0.0,0.0,126605.0
239,Tarbes-Lourdes,25.0,5.96312878211443e-05,0.0,0.0,419243.0
242,Aubenas,0.0,0.0,0.0,0.0,14540.0
243,Aurillac,3.0,1.565141175734051e-05,0.0,0.0,191676.0
100,Boulogne-sur-Mer,9.0,5.085205442299869e-05,0.0,0.0,176984.0
244,Belley,2.0,0.0,0.0,0.0,13666.0
251,La Maurienne,1.0,1.1680196227296619e-05,0.0,0.0,85615.0
103,Château-Thierry,3.0,0.0,2.0,0.0,4938.0
106,Douai,39.0,0.00015781806409841372,0.0,0.0,247120.0
107,Dunkerque,30.0,0.00010902985237357988,0.0,0.0,275154.0
93,Vire Normandie,0.0,0.0,0.0,0.0,67003.0
94,Yvetot-Vallée du Commerce,0.0,0.0,0.0,0.0,186900.0
95,Abbeville,8.0,8.146307686041302e-05,0.0,0.0,98204.0
96,Amiens,45.0,0.00010544074230282581,0.0,0.0,426780.0
225,Castres-Mazamet,21.0,7.547305432262934e-05,0.0,0.0,278245.0
226,Figeac-Villefranche,4.0,2.5655333423127e-05,0.0,0.0,155913.0
227,Foix-Pamiers,6.0,0.0,1.0,0.0,46167.0
212,Sarlat-La-Canéda,0.0,0.0,0.0,0.0,93937.0
213,Thouars,2.0,1.2375548391488098e-05,0.0,0.0,161609.0
214,Tulle,0.0,0.0,0.0,0.0,134647.0
216,Agde-Pézenas,1.0,1.098382083191459e-05,0.0,0.0,91043.0
101,Calais,16.0,0.00012651021569991776,0.0,0.0,126472.0
102,Cambrai,3.0,1.7482517482517483e-05,0.0,0.0,171600.0
204,Oloron-Sainte-Marie,0.0,0.0,0.0,0.0,106398.0
219,Auch,1.0,4.016064257028113e-06,0.0,0.0,249000.0
209,Royan,2.0,9.883962282799929e-06,0.0,0.0,202348.0
206,Périgueux,15.0,4.867838193058463e-05,0.0,0.0,308145.0
211,Saintes,9.0,3.1018652549733236e-05,0.0,0.0,290148.0
294,Ajaccio,13.0,0.00014612323809095609,0.0,0.0,88966.0
295,Bastia,27.0,0.000169379881434083,0.0,0.0,159405.0
208,Rochefort,7.0,4.4117832427867344e-05,0.0,0.0,158666.0
296,Corte,14.0,0.0,0.0,0.0,11710.0
297,Ghisonaccia,0.0,0.0,0.0,0.0,22243.0
298,Porto-Vecchio,0.0,0.0,0.0,0.0,41924.0
285,Gap,0.0,0.0,0.0,0.0,11939.0
286,Manosque,38.0,0.0006602953953084275,0.0,0.0,57550.0
65,Charolais,6.0,5.057358878614958e-05,0.0,0.0,118639.0
66,Châtillon-Montbard,8.0,0.00011124398587201379,0.0,0.0,71914.0
210,Saint-Junien,9.0,7.33992839492077e-05,0.0,0.0,122617.0
67,Creusot-Montceau,3.0,1.905366783105748e-05,0.0,0.0,157450.0
6,Dreux,10.0,6.676681689200467e-05,0.0,0.0,149775.0
53,Pithiviers,0.0,0.0,0.0,0.0,123949.0
54,Romorantin-Lanthenay,3.0,1.916528783068107e-05,0.0,0.0,156533.0
5,Cosne-Cours-sur-Loire,0.0,0.0,0.0,0.0,92515.0
57,Vierzon,0.0,0.0,0.0,0.0,92362.0
58,Autun,0.0,0.0,0.0,0.0,50688.0
59,Auxerre,2.0,6.5987435992187085e-06,0.0,0.0,303088.0
4,Bollène-Pierrelatte,59.0,0.000376431556448783,0.0,0.0,156735.0
0,Alençon,1.0,4.840997439112354e-06,0.0,0.0,206569.0
46,Châteaudun,0.0,0.0,0.0,0.0,108368.0
299,Propriano,0.0,0.0,0.0,0.0,12999.0
48,Chinon,7.0,7.026419336706015e-05,0.0,0.0,99624.0
49,Gien,18.0,0.00012575979878432194,0.0,0.0,143130.0
50,Loches,3.0,3.1587924989207456e-05,0.0,0.0,94973.0
51,Montargis,9.0,5.725372944432075e-05,0.0,0.0,157195.0
