,year,month,class_label,share_class_1,n_class_1
144,2021,1,REMUNERATION_BENEFITS,0.43340322405436305,502707
145,2021,1,DIVERSITY,0.25632508151522626,297313
146,2021,1,WORK_LIFE_BALANCE,0.054073347322972726,62720
147,2021,1,LEADERSHIP,0.20530370564511263,238133
148,2021,1,CULTURE_VALUES,0.620489936253455,719710
149,2021,1,PROFESSIONAL_OPPORTUNITIES,0.3974184114919657,460968
150,2021,2,REMUNERATION_BENEFITS,0.39891801289304674,462190
151,2021,2,DIVERSITY,0.24963641746266427,289231
152,2021,2,WORK_LIFE_BALANCE,0.05709950466464528,66156
153,2021,2,LEADERSHIP,0.19843191275054828,229905
154,2021,2,CULTURE_VALUES,0.6074197593838819,703762
155,2021,2,PROFESSIONAL_OPPORTUNITIES,0.37148856948288855,430410
156,2021,3,REMUNERATION_BENEFITS,0.3955738715471522,744383
157,2021,3,DIVERSITY,0.2571761842510814,483949
158,2021,3,WORK_LIFE_BALANCE,0.055664317826738516,104748
159,2021,3,LEADERSHIP,0.20280266556133023,381630
160,2021,3,CULTURE_VALUES,0.6304998458905929,1186462
161,2021,3,PROFESSIONAL_OPPORTUNITIES,0.3676673149889998,691869
162,2021,4,REMUNERATION_BENEFITS,0.41672052140228255,879537
163,2021,4,DIVERSITY,0.2643375204205786,557915
164,2021,4,WORK_LIFE_BALANCE,0.08055752443836302,170026
165,2021,4,LEADERSHIP,0.20866183142741265,440405
166,2021,4,CULTURE_VALUES,0.6520878264923605,1376307
167,2021,4,PROFESSIONAL_OPPORTUNITIES,0.39017140019785695,823502
168,2021,5,REMUNERATION_BENEFITS,0.4195720931289944,885882
169,2021,5,DIVERSITY,0.2698994124261033,569864
170,2021,5,WORK_LIFE_BALANCE,0.07341926708136899,155017
171,2021,5,LEADERSHIP,0.21486278733386568,453660
172,2021,5,CULTURE_VALUES,0.6587425179762754,1390865
173,2021,5,PROFESSIONAL_OPPORTUNITIES,0.3916298900157905,826885
174,2021,6,REMUNERATION_BENEFITS,0.4198059051102301,963481
175,2021,6,DIVERSITY,0.2714635720239488,623026
176,2021,6,WORK_LIFE_BALANCE,0.10432088356615919,239423
177,2021,6,LEADERSHIP,0.20979685524972516,481497
178,2021,6,CULTURE_VALUES,0.6262455540436145,1437273
179,2021,6,PROFESSIONAL_OPPORTUNITIES,0.3950845793775596,906744
180,2021,7,REMUNERATION_BENEFITS,0.42924336660436097,1211830
181,2021,7,DIVERSITY,0.276402081768164,780332
182,2021,7,WORK_LIFE_BALANCE,0.10447024752610269,294938
183,2021,7,LEADERSHIP,0.21949597917523414,619676
184,2021,7,CULTURE_VALUES,0.6425215280515533,1813952
185,2021,7,PROFESSIONAL_OPPORTUNITIES,0.3912124532043156,1104462
186,2021,8,REMUNERATION_BENEFITS,0.4127188675816747,990276
187,2021,8,DIVERSITY,0.2819355371101727,676475
188,2021,8,WORK_LIFE_BALANCE,0.10150596233385402,243553
189,2021,8,LEADERSHIP,0.2046890134017061,491130
190,2021,8,CULTURE_VALUES,0.6283956462376364,1507770
191,2021,8,PROFESSIONAL_OPPORTUNITIES,0.38777175589189944,930418
192,2021,9,REMUNERATION_BENEFITS,0.43561248780031514,1266701
193,2021,9,DIVERSITY,0.28702634444138,834633
194,2021,9,WORK_LIFE_BALANCE,0.10942438121203826,318191
195,2021,9,LEADERSHIP,0.20597057219359102,598934
196,2021,9,CULTURE_VALUES,0.6385708812866635,1856876
197,2021,9,PROFESSIONAL_OPPORTUNITIES,0.39292236013951143,1142564
198,2021,10,REMUNERATION_BENEFITS,0.416121216653397,1213067
199,2021,10,DIVERSITY,0.27735571459297326,808541
200,2021,10,WORK_LIFE_BALANCE,0.10010781506577474,291832
201,2021,10,LEADERSHIP,0.22963133970938987,669416
202,2021,10,CULTURE_VALUES,0.6717478904368414,1958264
203,2021,10,PROFESSIONAL_OPPORTUNITIES,0.40501314328426713,1180685
204,2021,11,REMUNERATION_BENEFITS,0.4176134256981767,861648
205,2021,11,DIVERSITY,0.28738694507303225,592956
206,2021,11,WORK_LIFE_BALANCE,0.09991726713023569,206156
207,2021,11,LEADERSHIP,0.2167310386876735,447174
208,2021,11,CULTURE_VALUES,0.643186751884269,1327066
209,2021,11,PROFESSIONAL_OPPORTUNITIES,0.3904584331547977,805620
210,2021,12,REMUNERATION_BENEFITS,0.4333398789973038,1160752
211,2021,12,DIVERSITY,0.28503541751754075,763501
212,2021,12,WORK_LIFE_BALANCE,0.0955373255910324,255908
213,2021,12,LEADERSHIP,0.22185955593518747,594277
214,2021,12,CULTURE_VALUES,0.6724762545461876,1801307
215,2021,12,PROFESSIONAL_OPPORTUNITIES,0.4034072794254351,1080574
216,2022,1,REMUNERATION_BENEFITS,0.4173308143631773,1058333
217,2022,1,DIVERSITY,0.3009073103368866,763088
218,2022,1,WORK_LIFE_BALANCE,0.09811641127984426,248819
219,2022,1,LEADERSHIP,0.2274549607899503,576816
220,2022,1,CULTURE_VALUES,0.6660452050251641,1689062
221,2022,1,PROFESSIONAL_OPPORTUNITIES,0.4079193771818686,1034466
222,2022,2,REMUNERATION_BENEFITS,0.4442274911126335,1185999
223,2022,2,DIVERSITY,0.28856607664766026,770414
224,2022,2,WORK_LIFE_BALANCE,0.08052622648654338,214989
225,2022,2,LEADERSHIP,0.2230398445427206,595472
226,2022,2,CULTURE_VALUES,0.6730456689468616,1796898
227,2022,2,PROFESSIONAL_OPPORTUNITIES,0.40116622924330314,1071034
228,2022,3,REMUNERATION_BENEFITS,0.435765600577632,1307828
229,2022,3,DIVERSITY,0.3071951763600057,921960
230,2022,3,WORK_LIFE_BALANCE,0.07375269848684818,221348
231,2022,3,LEADERSHIP,0.2085999055717027,626054
